internal_id,id,name,category,URI
293,postaar,postAAR,Packages and libraries,https://open-archaeo.info/post/postaar
295,lecaar,lecAAR,Packages and libraries,https://open-archaeo.info/post/lecaar
296,dimensio,dimensio,Packages and libraries,https://open-archaeo.info/post/dimensio
298,yada,yada,Packages and libraries,https://open-archaeo.info/post/yada
299,paleocar,paleocar,Packages and libraries,https://open-archaeo.info/post/paleocar
300,the-southwestern-taphonomic-protocol,The Southwestern Taphonomic Protocol,Packages and libraries,https://open-archaeo.info/post/the-southwestern-taphonomic-protocol
301,tdar,tdar,Packages and libraries,https://open-archaeo.info/post/tdar
304,spartaas,SPARTAAS,Packages and libraries,https://open-archaeo.info/post/spartaas
305,bonify,Bonify,Standalone software,https://open-archaeo.info/post/bonify
306,alligator,Alligator,Standalone software,https://open-archaeo.info/post/alligator
307,geocore,geoCore,Packages and libraries,https://open-archaeo.info/post/geocore
309,tachy2gis,Tachy2GIS,Standalone software,https://open-archaeo.info/post/tachy2gis
310,bioanth,bioanth,Packages and libraries,https://open-archaeo.info/post/bioanth
315,roomaccum,RoomAccum,Standalone software,https://open-archaeo.info/post/roomaccum
316,babylonian-hours,babylonian-hours,Standalone software,https://open-archaeo.info/post/babylonian-hours
318,hammurabi-markov,hammurabi-markov,Standalone software,https://open-archaeo.info/post/hammurabi-markov
319,cleanc14,cleanc14,Packages and libraries,https://open-archaeo.info/post/cleanc14
321,tachy2gis-arch,Tachy2GIS_arch,Packages and libraries,https://open-archaeo.info/post/tachy2gis-arch
322,iraq-mortar,Iraq_mortar,Packages and libraries,https://open-archaeo.info/post/iraq-mortar
325,elementsourcing,ElementSourcing,Scripts,https://open-archaeo.info/post/elementsourcing
326,elemsource,elemSource,Packages and libraries,https://open-archaeo.info/post/elemsource
327,ceramicapportioning,CeramicApportioning,Scripts,https://open-archaeo.info/post/ceramicapportioning
328,kairos,kairos,Packages and libraries,https://open-archaeo.info/post/kairos
329,nexus,nexus,Packages and libraries,https://open-archaeo.info/post/nexus
330,transmissionbias,TransmissionBias,Packages and libraries,https://open-archaeo.info/post/transmissionbias
331,skeletal-sex-estimation,skeletal-sex-estimation,Scripts,https://open-archaeo.info/post/skeletal-sex-estimation
332,long-bone-diaphyseal-csg-toolkit,long-bone-diaphyseal-CSG-Toolkit,Scripts,https://open-archaeo.info/post/long-bone-diaphyseal-csg-toolkit
333,osteometric-sorting,osteometric-sorting,Scripts,https://open-archaeo.info/post/osteometric-sorting
334,skullanalyzer,skullanalyzer,Scripts,https://open-archaeo.info/post/skullanalyzer
335,cranial-sex-estimation-code,cranial-sex-estimation-code,Scripts,https://open-archaeo.info/post/cranial-sex-estimation-code
336,non-metric-trait-analysis,non-metric-trait-analysis,Scripts,https://open-archaeo.info/post/non-metric-trait-analysis
339,p2pperm,p2pPerm,Scripts,https://open-archaeo.info/post/p2pperm
340,near-presence-analysis,Near-Presence-Analysis,Scripts,https://open-archaeo.info/post/near-presence-analysis
341,arothron,Arothron,Packages and libraries,https://open-archaeo.info/post/arothron
342,csgr,CSGR,Scripts,https://open-archaeo.info/post/csgr
343,kriging,kriging,Scripts,https://open-archaeo.info/post/kriging
344,geostat,Geostat,Scripts,https://open-archaeo.info/post/geostat
345,spdates,spDates,Packages and libraries,https://open-archaeo.info/post/spdates
347,katun,katun,Standalone software,https://open-archaeo.info/post/katun
348,maya-calendar,maya-calendar,Standalone software,https://open-archaeo.info/post/maya-calendar
349,chronochrt,chronochrt,Packages and libraries,https://open-archaeo.info/post/chronochrt
351,arbodat,ArboDat,Standalone software,https://open-archaeo.info/post/arbodat
352,xronos,xronos.R,Packages and libraries,https://open-archaeo.info/post/xronos
